Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
17-NOV-2025,25948.2,26024.2,25906.35,26013.45,264610565,23384.35
14-NOV-2025,25767.9,25940.2,25740.8,25910.05,518943416,33121.81
13-NOV-2025,25906.1,26010.7,25808.4,25879.15,385170023,30145.74
12-NOV-2025,25834.3,25934.55,25781.15,25875.8,343864299,30633.19
11-NOV-2025,25617,25715.8,25449.25,25694.95,297714069,28285.51
10-NOV-2025,25503.5,25653.45,25503.5,25574.35,243592948,25023.65
07-NOV-2025,25433.8,25551.25,25318.45,25492.3,305606393,35487
06-NOV-2025,25593.35,25679.15,25491.55,25509.7,371852417,36129.62
04-NOV-2025,25744.75,25787.4,25578.4,25597.65,305143084,29307.41
03-NOV-2025,25696.85,25803.1,25645.5,25763.35,275858501,23949.88
31-OCT-2025,25863.8,25953.75,25711.2,25722.1,334384400,28788.4
30-OCT-2025,25984.4,26032.05,25845.25,25877.85,257373001,24180.46
29-OCT-2025,25982,26097.85,25960.3,26053.9,321880610,26309.32
28-OCT-2025,25939.95,26041.7,25810.05,25936.2,395231207,37023.32
27-OCT-2025,25843.2,26005.95,25827,25966.05,266337274,23989.06
24-OCT-2025,25935.1,25944.15,25718.2,25795.15,284913477,23527.98
23-OCT-2025,26057.2,26104.2,25862.45,25891.4,448404894,41777.68
21-OCT-2025,25901.2,25934.35,25825.8,25868.6,42477128,3831.1
20-OCT-2025,25824.6,25926.2,25788.5,25843.15,301133193,29637.12
17-OCT-2025,25546.85,25781.5,25508.6,25709.85,422055809,35106.96
16-OCT-2025,25394.9,25625.4,25376.85,25585.3,372777021,32008.64
15-OCT-2025,25181.95,25365.15,25159.35,25323.55,289930172,25202.02
14-OCT-2025,25277.55,25310.35,25060.55,25145.5,292129083,24151.97
13-OCT-2025,25177.3,25267.3,25152.3,25227.35,234285202,20806.83
10-OCT-2025,25167.65,25330.75,25156.85,25285.35,232943306,21749.23
09-OCT-2025,25074.3,25199.25,25024.3,25181.8,286253252,22617.86
08-OCT-2025,25079.75,25192.5,25008.5,25046.15,225967495,21701.19
07-OCT-2025,25085.3,25220.9,25076.3,25108.3,286833765,26176.23
06-OCT-2025,24916.55,25095.95,24881.65,25077.65,271953070,25160.76
03-OCT-2025,24759.55,24904.8,24747.55,24894.25,366929642,31409.06
01-OCT-2025,24620.55,24867.95,24605.95,24836.3,308135228,29041.17
30-SEP-2025,24691.95,24731.8,24587.7,24611.1,304924720,29285.11
29-SEP-2025,24728.55,24791.3,24606.2,24634.9,394388242,40004.93
26-SEP-2025,24818.55,24868.6,24629.45,24654.7,291537949,29987.93
25-SEP-2025,25034.5,25092.7,24878.3,24890.85,342534768,32715.91
24-SEP-2025,25108.75,25149.85,25027.45,25056.9,244382281,22310.05
23-SEP-2025,25209,25261.9,25084.65,25169.5,299204338,31435.17
22-SEP-2025,25238.1,25331.7,25151.05,25202.35,254509892,25277.82
19-SEP-2025,25410.2,25431.4,25286.3,25327.05,380362832,38805.58
18-SEP-2025,25441.05,25448.55,25329.75,25423.6,272193683,24198.11
17-SEP-2025,25276.6,25346.5,25275.35,25330.25,268936695,23484.12
16-SEP-2025,25073.6,25261.4,25070.45,25239.1,240122320,22642.86
15-SEP-2025,25118.9,25138.45,25048.75,25069.2,185375759,17115.6
12-SEP-2025,25074.45,25139.45,25038.05,25114,225739766,21335.67
11-SEP-2025,24945.5,25037.3,24940.15,25005.5,224570983,21316.72
10-SEP-2025,24991,25035.7,24915.05,24973.1,244146466,22458.98
09-SEP-2025,24864.1,24891.8,24814,24868.6,226919775,22356.88
08-SEP-2025,24802.6,24885.5,24751.55,24773.15,213228202,20122.88
05-SEP-2025,24818.85,24832.35,24621.6,24741,210071924,18530.24
04-SEP-2025,24980.75,24980.75,24708.2,24734.3,314094160,30252.19
03-SEP-2025,24616.5,24737.05,24533.2,24715.05,340283328,23533.08
02-SEP-2025,24653,24756.1,24522.35,24579.6,271558516,22051.8
01-SEP-2025,24432.7,24635.6,24432.7,24625.05,229327424,20704.88
29-AUG-2025,24466.7,24572.45,24404.7,24426.85,325543583,26796.69
28-AUG-2025,24695.8,24702.65,24481.6,24500.9,326601486,29371.67
26-AUG-2025,24899.5,24919.65,24689.6,24712.05,750473927,47068.2
25-AUG-2025,24949.15,25021.55,24894.35,24967.75,213032133,19871.25
22-AUG-2025,25064.15,25084.85,24859.15,24870.1,210165384,19655.78
21-AUG-2025,25142,25153.65,25054.9,25083.75,226542052,21865.07
20-AUG-2025,24965.8,25088.7,24929.7,25050.55,287054119,25330.45
19-AUG-2025,24891.35,25012.65,24873.95,24980.65,252340828,24781.97
18-AUG-2025,24938.2,25022,24852.85,24876.95,363071305,37637.67
14-AUG-2025,24607.25,24673.65,24596.9,24631.3,270162203,22375.44
